id,question,gold_answer,prediction,exact_match,f1,context_tokens,total_time_ms
5a7a11c85542996a35c170b4,What is the English translation of the name of the novel series which the Four III is the final installment of?,"""The Four Great Constables""","The Four III is the final installment of the trilogy based on Woon Swee Oan's novel series titled ""The Four Great Constables.""",0.0,0.2727272727272727,688,1241.0525579999785
5adf51e05542995534e8c78a,What is Diego Tonetto's Italian passport called?,Italian nationality law,Diego Tonetto's Italian passport is referred to as an Italian fiscal code card.,0.0,0.125,462,717.8783420000627
5a7a68d25542996c55b2dd98,How is the namesake of The Mountbatten Institute related to Elizabeth II?,second cousin once removed,"Louis Mountbatten, 1st Earl Mountbatten of Burma, was an uncle of Prince Philip, Duke of Edinburgh, and second cousin once removed of Elizabeth II.",0.0,0.29629629629629634,615,1448.4664190000558
5ae2c416554299492dc91c67,"Which American actor portray Steve Urkel in ""Family Matters""",Jaleel Ahmad White,Jaleel White,0.0,0.8,717,342.517684000029
5a734ca85542994cef4bc51b,Alhambra and Tsuro are both examples of what type of game?,tile-based board game,Tile-based board game,1.0,1.0,534,298.8505239999881
5a8b3af455429971feec467b,Blinding Edge Pictures produced which 2000 film starring Bruce Willis?,Unbreakable,"Blinding Edge Pictures produced the 2000 film ""Unbreakable,"" starring Bruce Willis.",0.0,0.18181818181818182,792,967.016626999964
5a7f9cbd5542994857a7677c,"Aside from the Ivorian who was born in 1986, what other big name footballer has gone through the FC Bibo?","Feyenoord's Sekou Cissé, WS Woluwe's Bassilia Sakanoko, UTA Arad's Leoh Digbeu",Sekou Cissé,0.0,0.25,750,440.67545399997243
5a8ac0595542992d82986f6c,"Which minor role did this New Zealand storyboard artist play in the film ""King Kong"" who will direct the film based on the novel by Philip Reeve?",Gondorian soldier,Soldier in Truck,0.0,0.4,807,395.9690739999928
5a7bb52355429927d897c01a,"The song by English indie rock band Florence and the Machine written by Florence Welch and Francis ""Eg"" White and released in 2011 is named after the painting which was completed in which year?",1938,1928,0.0,0.0,818,403.14767300003496
5a753ff455429916b01642bc,"Who died more recently, Lincoln Steffens, or Monique Wittig?",Monique Wittig,"Monique Wittig died more recently than Lincoln Steffens. Monique Wittig passed away on January 3, 2003, while Lincoln Steffens died on August 9, 1936.",0.0,0.15384615384615385,563,1799.3485300000316
5a8242c155429940e5e1a81d,Where was the author of Thoughts of Machiavelli born?,Germany,"Pittsburgh, Pennsylvania",0.0,0.0,635,367.9030249999755
5aba7cb455429901930fa7eb,What honor has been received by both a former NASA Astronaut and the Founder of FlightSafety International?,National Aviation Hall of Fame,Enshrinement in the National Aviation Hall of Fame.,0.0,0.8333333333333333,725,665.5230459999757
5ae34b275542992e3233c371,Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design,Tony Award,0.0,0.0,523,234.82890299999326
