id,question,gold_answer,fixed_prediction,prediction,route,controller_score,fixed_f1,f1,fixed_context_tokens,context_tokens,f1_change
5ade78e255429939a52fe8d0,What series was Emily Bergl in that is set in Chicago?,Shameless,Shameless,"Emily Bergl appeared in the TV series ""Desperate Housewives,"" which takes place in Chicago.",top3,0.3257240653038025,1.0,0.0,778,513,-1.0
5a8841195542994846c1ce65,"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn,Matthew Vaughn,Adam and Joe,top3,0.4804609417915344,1.0,0.0,514,292,-1.0
5ab600fb554299488d4d9a82,Under Which Stanmore born prime minister was John Gorton a serving minister? ,Harold Holt,Harold Holt,Sir Robert Menzies,top3,0.5340030789375305,1.0,0.0,441,215,-1.0
5ae32c935542990afbd1e0bd,What English campaigner for the suffragette movement did Angela Down portray? ,Sylvia Pankhurst,Sylvia Pankhurst,Avril,top3,0.37823376059532166,1.0,0.0,751,437,-1.0
5ae644c55542992663a4f27e,"When was the club formed, for which Adam  Johnson played as well as Middlesbrough and Watford ?",1919,1919,1879,top3,0.5271235704421997,1.0,0.0,544,396,-1.0
5a8fb65d5542997ba9cb32fa, Steven S. Crompton is a Canadian-born artist known as the artist for a a fantasy role-playing game designed by Ken St. Andre and first published by who?,Flying Buffalo,Flying Buffalo.,Wizards of the Coast,top3,0.44801414012908936,1.0,0.0,540,291,-1.0
5ae352285542994393b9e685,Rumble Fish was a novel by the author of the coming-of-age novel published in what year by Viking Press?,1967,1967,1975,top3,0.6188996434211731,1.0,0.0,500,300,-1.0
5ab3bcc55542992ade7c6e66,In which election did Norm Coleman won to become the last republican elected as of 2017?,2002,2002,2016,top3,0.2669745981693268,1.0,0.0,567,387,-1.0
5ae3de615542992f92d823a5, The Human Condition is a film trilogy that follows a Japanese pacifist and socialist as he tries to survive in a political system that strives to regulate what?,every aspect of public and private life,Every aspect of public and private life wherever feasible.,what people do,top3,0.07533463835716248,0.8750000000000001,0.0,725,452,-0.8750000000000001
5a77414155429972597f14d7,Who starred in Umm-e-Kulsoom whose mother was Afshan Qureshi?,Faisal Qureshi,Faisal Qureshi,Aamina Sheikh starred in Umm-e-Kulsoom whose mother was Afshan Qureshi.,top3,0.020224129781126976,1.0,0.14285714285714285,627,344,-0.8571428571428572
5add53fe5542992200553ab1,Since what historic period has the area known for its Crottin de Chavignol goat cheese been inhabited?,Middle Palaeolithic period,Since the Middle Palaeolithic period.,"The area known for its Crottin de Chavignol goat cheese has been inhabited since at least the 19th century, based on historical records from Document 1 mentioning that this cheese is the ""claim to fame"" for the village of Chavignol, France, which has only two hundred inhabitants",top3,0.45297446846961975,0.8571428571428571,0.0,604,290,-0.8571428571428571
5ab4ec2755429942dd415fa6,"Nelson Chai is the former president of what financial holding company that was founded in 1908, and is headquartered in New York City?",CIT Group Inc.,CIT Group,BNY Mellon,top3,0.5137731432914734,0.8,0.0,597,300,-0.8
5ab288a05542993be8fa993b,"Which Royal Air Force is located in a town that had a population of 2,841 on 15 April 2012?",Mount Pleasant,RAF Mount Pleasant,"Royal Air Force stationed in Peterborough, Cambridgeshire, UK.",top3,0.45686519145965576,0.8,0.0,703,350,-0.8
5ae532f85542990ba0bbb20a,Who was the gunman of the hostage crisis which Chris Reason was awarded the Graham Perkin Australian Journalist of the Year Award for his coverage of?,Man Haron,Man Haron Monis,"The gunman of the hostage crisis which Chris Reason was awarded the Graham Perkin Australian Journalist of the Year Award for his coverage of was not explicitly mentioned in the given documents. The award was given to Chris Reason for his work on the Lindt Cafe siege in December 2014, but no specific details about",top3,0.1009281575679779,0.8,0.0,364,134,-0.8
5ae4c8f35542990ba0bbb130,"Ralf Popken had a role in a musical that is a satire on corruption in the administration of criminal justice, bringing what concept to light?","the ""celebrity criminal""",Celebrity criminal,The concept brought to light is celebrity criminalism.,top3,0.2268901914358139,1.0,0.22222222222222224,755,457,-0.7777777777777778
5ae655845542991bbc9760c3,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",Rocky Mountain Institute,Rocky Mountain Institute,"The American physicist who coined the term ""soft energy path"" in 1976 is Amory Lovins. Today, he is chairman and chief scientist of Rocky Mountain Institute.",top3,0.5869005918502808,1.0,0.2222222222222222,682,390,-0.7777777777777778
5adcf37e5542994ed6169c37,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",BMW X6,BMW X6,"BMW X5 (E70), produced in 2009.",top3,0.19620583951473236,1.0,0.25,613,355,-0.75
